ours_model,baseline_model,metric,n_pairs,baseline_minus_ours_mean,baseline_minus_ours_median,bootstrap95_low,bootstrap95_high,paired_t_p,wilcoxon_p,direction_good_for_ours,paired_t_p_fdr,wilcoxon_p_fdr
prior_init_diffusion_unet,residual_likelihood_guided_diffusion,width90_norm,25,-3.3475458621919087e-06,-3.390014171600342e-06,-1.9136356189847424e-05,1.2354049831642863e-05,0.6906071189220804,0.7914759516716003,False,0.7374279405439164,0.8451353382256072
prior_init_diffusion_unet,srcnn_bz_single_channel,mae_kpa,25,0.8422920417785644,0.9133913516998291,0.7732895154953003,0.9069326622486114,2.0626092842989517e-18,5.960464477539063e-08,True,6.043924879573673e-18,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,rmse_kpa,25,1.9389470931472852,1.9957795618256338,1.7631023833000958,2.110364706401729,4.303134216162403e-17,5.960464477539063e-08,True,9.520482236374329e-17,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,mae_norm,25,0.038604884445667266,0.04041197150945661,0.03598448277264834,0.04099705359339714,2.055511470998242e-20,5.960464477539063e-08,True,8.633148178192617e-20,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,rmse_norm,25,0.04471745529784522,0.04859763071358941,0.04100672667787736,0.04816772998464279,2.4923675944858465e-18,5.960464477539063e-08,True,6.97862926456037e-18,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,crps_norm,25,0.04363008946180344,0.04576493054628371,0.040938915401697154,0.04609937434643506,1.4374551454526309e-21,5.960464477539063e-08,True,6.966128781808903e-21,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,uce,25,0.07587686086097452,0.08096046786606739,0.07093007261986689,0.0806800731942984,2.1263606212637243e-20,5.960464477539063e-08,True,8.64262704126546e-20,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,ause_abs_error,25,0.07154527758323981,0.06894834557950819,0.06915788486384661,0.07417634690573977,8.236530476763349e-27,5.960464477539063e-08,True,9.146274859928772e-26,9.881822686446341e-08
prior_init_diffusion_unet,srcnn_bz_single_channel,width90_norm,25,-0.028736840486526437,-0.0287995412945747,-0.029338055923581075,-0.02817201257124539,2.3950097308732243e-32,5.960464477539063e-08,False,8.516876539527232e-31,9.881822686446341e-08
prior_init_diffusion_unet,train_mean_prior,mae_kpa,25,1.118589963912964,1.1795225143432617,1.041592389822006,1.1927021729946137,6.237369744228184e-20,5.960464477539063e-08,True,2.068180494138819e-19,9.881822686446341e-08
prior_init_diffusion_unet,train_mean_prior,rmse_kpa,25,2.3421376282212263,2.385022383078539,2.141784339835033,2.539007619436387,1.5880763303404425e-17,5.960464477539063e-08,True,3.9309256843091565e-17,9.881822686446341e-08
prior_init_diffusion_unet,train_mean_prior,mae_norm,25,0.06373430520296097,0.06618911027908331,0.06083071175217628,0.06635445123165844,1.8826348609739522e-24,5.960464477539063e-08,True,1.1295809165843714e-23,9.881822686446341e-08
prior_init_diffusion_unet,train_mean_prior,rmse_norm,25,0.060091506226888025,0.06327646873844259,0.05541647787122691,0.0643358283221336,6.501119474208491e-19,5.960464477539063e-08,True,2.0478526343756746e-18,9.881822686446341e-08
prior_init_diffusion_unet,unet_canonical_bxyz,mae_kpa,25,-0.017576856613159126,-0.016472101211547407,-0.020993426799774208,-0.014038429021835223,9.156572528188243e-10,1.1920928955078125e-07,False,1.5383041847356247e-09,1.9256885235126202e-07
prior_init_diffusion_unet,unet_canonical_bxyz,rmse_kpa,25,-0.03028731524516502,-0.02948613992451854,-0.03915718970041336,-0.021869068051274206,5.698282158999263e-07,8.344650268554688e-07,False,8.252684506136863e-07,1.2667782335396273e-06
prior_init_diffusion_unet,unet_canonical_bxyz,mae_norm,25,-0.002338176369667064,-0.002415686845779502,-0.002599894762039204,-0.002069624647498133,6.314129524261538e-15,5.960464477539063e-08,False,1.1205356620520475e-14,9.881822686446341e-08
prior_init_diffusion_unet,unet_canonical_bxyz,rmse_norm,25,-0.0004827449489023428,-0.000468753152240986,-0.0006145906502962487,-0.00034993037262658153,2.3640195112237809e-07,1.4901161193847656e-06,False,3.504311275461134e-07,2.2088780122644763e-06
prior_init_diffusion_unet,unet_canonical_bxyz,crps_norm,25,0.002687031030654895,0.002666808664798695,0.0024329611659049946,0.0029538976997136915,2.636497847666365e-16,5.960464477539063e-08,True,5.63048692891461e-16,9.881822686446341e-08
prior_init_diffusion_unet,unet_canonical_bxyz,uce,25,0.03071120248006496,0.02971537944083609,0.029107147531741887,0.03237145071786124,1.886296706919176e-22,5.960464477539063e-08,True,9.903057711325675e-22,9.881822686446341e-08
prior_init_diffusion_unet,unet_canonical_bxyz,ause_abs_error,25,0.046154811517567076,0.0451797352597096,0.044479482814579405,0.04786483545013015,3.1315526226308873e-26,5.960464477539063e-08,True,2.630504203009945e-25,9.881822686446341e-08
prior_init_diffusion_unet,unet_canonical_bxyz,width90_norm,25,-0.028736840486526437,-0.0287995412945747,-0.029332412695512122,-0.028161123687401347,2.3950097308732243e-32,5.960464477539063e-08,False,8.516876539527232e-31,9.881822686446341e-08
prior_init_diffusion_unet,vanilla_diffusion,mae_kpa,25,9.77619686126709,9.529869794845583,9.408855796337129,10.166788175821305,1.076624993807005e-25,5.960464477539063e-08,True,7.536374956649034e-25,9.881822686446341e-08
