figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm
Figure 3,3D,PIEZO,sheet piezo,direct_scalar_regression,direct scalar regression,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.103713344793293,1.2788467622079076,0.7840897793849326,0.7555064534231201,4.52534268593488,0.34370787886610876
Figure 3,3D,US,ultrasound,direct_scalar_regression,direct scalar regression,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.4794064530625821,1.661561577983713,0.9824451547929217,0.8070636924803593,4.711100181015246,0.4798810075735781
Figure 3,3D,MMP,soft MMP,unet_3d,3D U-Net,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6679732456356529,0.6932686944182823,0.6144336796554786,0.04161534039582804,0.22993402780016226,0.8800557753234978
Figure 3,3D,PIEZO,sheet piezo,unet_3d,3D U-Net,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,1.0186885951977969,1.2853293861890913,1.0055082666143094,0.6434343434343435,3.8359282552404728,0.8212105102929353
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.8247511561023128,0.9763624889755755,0.7940777188255852,0.09253254085571139,0.3664532188968965,0.7986167935187544
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5370100757115952,0.5624124896446782,0.33527063648212224,0.9038725671347622,1.3357561702578842,0.9356028159306848
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6219868930475384,0.8512096668883272,0.4662662725400414,0.8994248035914704,2.8047246375878854,0.9588478085047406
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,400,400,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6191704959181704,0.7362312283026211,0.412522884785934,0.8766698146779448,1.5763944311277642,0.969279688619634
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,400,1200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.5555014002004327,0.620986612133767,0.34919857341337635,0.8986952861952863,1.7767825431264905,0.5816361082754525
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,400,1200,20260604,352,fast_surrogate_curve_anchorable_to_existing_depth_metrics+full_endpoint_anchor_depth_metrics,0.6000149615457067,0.9299009779807894,0.4352761693883608,0.8920084996304509,2.214922332484897,0.965120411995412
