operator,method,seed_id,coverage_fraction,risk_mae_mm,oracle_risk_mae_mm
US,unet_3d,20260532,0.4,0.4731195625404733,0.4030890508030015
US,unet_3d,20260532,0.45,0.48833196547879887,0.42055381694482136
US,unet_3d,20260532,0.5,0.5013562482929262,0.43646586603271337
US,unet_3d,20260532,0.55,0.519542703806942,0.45392265475396965
US,unet_3d,20260532,0.6000000000000001,0.5367931935781077,0.47406734136563816
US,unet_3d,20260532,0.65,0.5564694473165507,0.4925142357177005
US,unet_3d,20260532,0.7,0.5748277345852785,0.512096528071689
US,unet_3d,20260532,0.75,0.6016064881650767,0.5354108883991392
US,unet_3d,20260532,0.8,0.6313201988033509,0.5587826165192928
US,unet_3d,20260532,0.8500000000000001,0.667602395097521,0.5860754316197263
US,unet_3d,20260532,0.9000000000000001,0.7145863270141154,0.6170201326731752
US,unet_3d,20260532,0.95,0.7232295185743649,0.6592541480681576
US,unet_3d,20260532,1.0,0.7060794530838914,0.7060794530838914
US,unet_3d,20260533,0.2,0.49850156560939823,0.34092902303603867
US,unet_3d,20260533,0.25,0.5006704420337098,0.3545192601693738
US,unet_3d,20260533,0.30000000000000004,0.49234040884427527,0.37025014086965996
US,unet_3d,20260533,0.35000000000000003,0.488952574408299,0.3836824900073564
US,unet_3d,20260533,0.4,0.5024098371338762,0.3994964032280921
US,unet_3d,20260533,0.45,0.511351762458686,0.4168082701442349
US,unet_3d,20260533,0.5,0.524270208104066,0.432234241545547
US,unet_3d,20260533,0.55,0.536358981552038,0.4489767287260209
US,unet_3d,20260533,0.6000000000000001,0.5513083893669721,0.46946147729297627
US,unet_3d,20260533,0.65,0.5668583765877664,0.48823951449895364
US,unet_3d,20260533,0.7,0.5832491614774503,0.5077282369613346
US,unet_3d,20260533,0.75,0.605316775536876,0.5299390424537473
US,unet_3d,20260533,0.8,0.6285444002448843,0.5521729887146446
US,unet_3d,20260533,0.8500000000000001,0.656560622114018,0.5773382701968491
US,unet_3d,20260533,0.9000000000000001,0.6980386856105085,0.6051381216396043
US,unet_3d,20260533,0.95,0.7011138339558481,0.6411199085701336
US,unet_3d,20260533,1.0,0.6854951972758181,0.685495197275818
US,kernel_gp,20260531,0.2,0.2719368595465487,0.25683733747916143
US,kernel_gp,20260531,0.25,0.28442855212631807,0.26976718209611805
US,kernel_gp,20260531,0.30000000000000004,0.2969849393403696,0.28437424149028606
US,kernel_gp,20260531,0.35000000000000003,0.3079220022646657,0.2982352842947713
US,kernel_gp,20260531,0.4,0.32614217251766764,0.3130971387422192
US,kernel_gp,20260531,0.45,0.3359953519838439,0.32983619917655477
US,kernel_gp,20260531,0.5,0.3504194980198572,0.34369200890651885
US,kernel_gp,20260531,0.55,0.3672038344550451,0.3572608610099213
US,kernel_gp,20260531,0.6000000000000001,0.3865535984894627,0.3726113704330363
US,kernel_gp,20260531,0.65,0.39959716616838736,0.38684253601992635
US,kernel_gp,20260531,0.7,0.41772012728023633,0.4028717707139719
US,kernel_gp,20260531,0.75,0.4424879053117965,0.42216767477274386
US,kernel_gp,20260531,0.8,0.4599201523186053,0.4401487782169383
US,kernel_gp,20260531,0.8500000000000001,0.4812237733470436,0.4591528676952244
US,kernel_gp,20260531,0.9000000000000001,0.5015233483487722,0.48090837873882425
US,kernel_gp,20260531,0.95,0.5329561049760387,0.5137579009250363
US,kernel_gp,20260531,1.0,0.5525490700451298,0.5525490700451298
US,kernel_gp,20260532,0.2,0.2814248689234036,0.2410365825933301
US,kernel_gp,20260532,0.25,0.2850325597283736,0.2544759536013651
US,kernel_gp,20260532,0.30000000000000004,0.29185331126877206,0.2683125383452843
US,kernel_gp,20260532,0.35000000000000003,0.3019781598855906,0.2802892468617086
US,kernel_gp,20260532,0.4,0.31393794878856046,0.2932656943650329
US,kernel_gp,20260532,0.45,0.3296735199791341,0.30859808304336406
US,kernel_gp,20260532,0.5,0.34594013637972637,0.3231079599679593
US,kernel_gp,20260532,0.55,0.3527676698820053,0.3364174745961576
US,kernel_gp,20260532,0.6000000000000001,0.3693854765698919,0.35103489051809245
US,kernel_gp,20260532,0.65,0.3792476776998291,0.3650470730665796
US,kernel_gp,20260532,0.7,0.3939493150433951,0.37994949188145277
US,kernel_gp,20260532,0.75,0.41284629470962003,0.3973539951190555
US,kernel_gp,20260532,0.8,0.4364167592381304,0.41412299352582643
US,kernel_gp,20260532,0.8500000000000001,0.453341899101232,0.43251374116757374
US,kernel_gp,20260532,0.9000000000000001,0.4665785710823219,0.45281489555223714
US,kernel_gp,20260532,0.95,0.505677241648153,0.4828010250299344
US,kernel_gp,20260532,1.0,0.5234389713069945,0.5234389713069945
US,kernel_gp,20260533,0.2,0.2653382212646596,0.24407208073185022
US,kernel_gp,20260533,0.25,0.2780889450769261,0.25675107846375644
US,kernel_gp,20260533,0.30000000000000004,0.29153711621131767,0.27044807609257754
US,kernel_gp,20260533,0.35000000000000003,0.3040710350636104,0.28353627267915515
US,kernel_gp,20260533,0.4,0.3221471850712285,0.29769084254494604
US,kernel_gp,20260533,0.45,0.3338309990802722,0.31352329803746715
US,kernel_gp,20260533,0.5,0.34517316438296,0.32755509171061975
US,kernel_gp,20260533,0.55,0.3610564928054882,0.3419164168680494
US,kernel_gp,20260533,0.6000000000000001,0.3719017353535773,0.3573127388032197
US,kernel_gp,20260533,0.65,0.3881154793587296,0.3708705387983887
US,kernel_gp,20260533,0.7,0.40373813431795513,0.3853991348909744
US,kernel_gp,20260533,0.75,0.4232756796273231,0.402880729123323
US,kernel_gp,20260533,0.8,0.4452268412830825,0.4195742887629647
US,kernel_gp,20260533,0.8500000000000001,0.4593124925279822,0.4390631921031296
US,kernel_gp,20260533,0.9000000000000001,0.4779742150567566,0.46007992498786193
US,kernel_gp,20260533,0.95,0.5146428757681473,0.49195924786356465
US,kernel_gp,20260533,1.0,0.5349047246331027,0.5349047246331027
US,vanilla_3d_diffusion,20260531,0.2,0.47886336581518124,0.23677452490395282
US,vanilla_3d_diffusion,20260531,0.25,0.49406606984140866,0.2601792048598473
US,vanilla_3d_diffusion,20260531,0.30000000000000004,0.4976903607980518,0.28240681595708417
US,vanilla_3d_diffusion,20260531,0.35000000000000003,0.5133330512792866,0.3002001806497762
US,vanilla_3d_diffusion,20260531,0.4,0.5131363455344727,0.317022398231907
US,vanilla_3d_diffusion,20260531,0.45,0.5220928059361218,0.33497227652446776
US,vanilla_3d_diffusion,20260531,0.5,0.5177531709289348,0.35043104737244496
US,vanilla_3d_diffusion,20260531,0.55,0.5145037149379066,0.36472073781780967
US,vanilla_3d_diffusion,20260531,0.6000000000000001,0.5111014783980496,0.3794438669158365
US,vanilla_3d_diffusion,20260531,0.65,0.5098638086896875,0.3923349362575881
US,vanilla_3d_diffusion,20260531,0.7,0.5062892475615465,0.40486337165854813
US,vanilla_3d_diffusion,20260531,0.75,0.5125511489231688,0.41810195657978416
US,vanilla_3d_diffusion,20260531,0.8,0.516374787918501,0.43005888055044283
US,vanilla_3d_diffusion,20260531,0.8500000000000001,0.5104968923131544,0.4422866481215677
US,vanilla_3d_diffusion,20260531,0.9000000000000001,0.5042205249678661,0.45510740159640367
US,vanilla_3d_diffusion,20260531,0.95,0.5031216674708299,0.47071543927015563
US,vanilla_3d_diffusion,20260531,1.0,0.4955467900504578,0.4955467900504578
US,vanilla_3d_diffusion,20260532,0.2,0.45770193205657844,0.269368209644802
US,vanilla_3d_diffusion,20260532,0.25,0.4756059569109497,0.28776605036413
US,vanilla_3d_diffusion,20260532,0.30000000000000004,0.4790682237397138,0.3044580515538807
US,vanilla_3d_diffusion,20260532,0.35000000000000003,0.4874945379347785,0.3188050185552197
US,vanilla_3d_diffusion,20260532,0.4,0.486814762077195,0.33259340827461475
US,vanilla_3d_diffusion,20260532,0.45,0.48915886126904273,0.34697718952672685
US,vanilla_3d_diffusion,20260532,0.5,0.49319752603904204,0.359509915803028
US,vanilla_3d_diffusion,20260532,0.55,0.4923829008305323,0.37180825235829496
US,vanilla_3d_diffusion,20260532,0.6000000000000001,0.4967314280153618,0.38483149146959494
