figure,dimension,device,device_label,model,model_label,train_N_per_device,train_N_total,train_unique_cases,unique_source_cases_available,sampling_mode,seed,n_test_cases,evidence_level,mae_zbottom_mm,rmse_zbottom_mm,crps_zbottom_mm,cov90_zbottom,width90_zbottom_mm,auroc_fail_tau_1mm,calibrated_score
Figure 3,3D,US,ultrasound,unet_3d,3D U-Net,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,1.0413884660511261,1.1837914942802032,0.9944419379796774,0.0480249650981357,0.41871723582756165,0.7986167935187544,0.8620262749240184
Figure 3,3D,MMP,soft MMP,kernel_gp,kernel GP,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6064984231664747,0.6848850222312955,0.3940002313198658,0.8934559004680956,1.5007642449157432,0.9356028159306848,0.7323148809973619
Figure 3,3D,PIEZO,sheet piezo,kernel_gp,kernel GP,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.6394454227069399,0.8654125669471957,0.473705425265755,0.916470258136925,2.9512565588614788,0.9588478085047406,1.8531887739743687
Figure 3,3D,US,ultrasound,kernel_gp,kernel GP,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.7265544018299059,0.8167680077958168,0.4747718116648756,0.8454198146779447,1.6418052504690415,0.969279688619634,0.64892728768314
Figure 3,3D,MMP,soft MMP,vanilla_3d_diffusion,vanilla 3D diffusion,500,1500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.511446846669323,0.5471309803902747,0.3208466356533594,0.9204755892255893,1.7976577617976806,0.5816361082754525,2.164411938321036
Figure 3,3D,PIEZO,sheet piezo,vanilla_3d_diffusion,vanilla 3D diffusion,500,1500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.624577862161388,0.9643534215596371,0.45335356540972177,0.847500923872875,2.2409452063639725,0.965120411995412,3.6609324012009403
Figure 3,3D,US,ultrasound,vanilla_3d_diffusion,vanilla 3D diffusion,500,1500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.48865679952837915,0.5282246240763062,0.30750027000960706,0.9127735690235692,1.833081992571683,0.7653517551058536,3.249014317816138
Figure 3,3D,MMP,soft MMP,dps_inverse_diffusion,DPS inverse diffusion,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.40756131004374974,0.46995325139605093,0.26758986339605834,0.8660788097779967,1.0009450277203622,0.9238788238788238,0.8290503071024223
Figure 3,3D,PIEZO,sheet piezo,dps_inverse_diffusion,DPS inverse diffusion,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.44605461700216165,0.6144861324517801,0.3434599010588919,0.8855148709315375,2.2253579447570146,0.9959051424269704,1.3736767511090588
Figure 3,3D,US,ultrasound,dps_inverse_diffusion,DPS inverse diffusion,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.5150136100332667,0.5839890379022683,0.3396334978533684,0.7801742013632258,1.1221819274863654,0.9635620779746464,0.5559535810980054
Figure 3,3D,MMP,soft MMP,eapp_only_diffusion,Eapp-only diffusion,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.482773038282128,0.532869330911454,0.2970213279884502,0.9237864758698093,1.618003337547499,0.4990942028985508,0.9904295338531973
Figure 3,3D,PIEZO,sheet piezo,eapp_only_diffusion,Eapp-only diffusion,500,500,500,1600,without_replacement,20260606,352,priority1_learning_curve_by_N_from_available_3d_parameter_library+full_endpoint_anchor_depth_metrics,0.7565697345524054,1.1486595105543291,0.5498643145270958,0.8645243081218691,2.2666660495455093,0.9413277046439732,2.4204802536752736
